job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
BI Analyst,Fantuan,"Vancouver, BC","Interpret, evaluate, and interrelate research data and develop integrated business analyses and projections for incorporation into strategic decision-making.",,Posted8 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=249a5d6e783cc7ff&fccid=bf0cf9ecfb0dcb97&vjs=3
database analyst,Click Studio,"North Vancouver, BC","Research and document data requirements, data collection and administration policy, and data access rules.
Operate database management systems to analyze data.",$38 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=97d3bfb116590840&fccid=2d0e6a2715c5e097&vjs=3
Business Analyst,Omni Logic Solutions,"Vancouver, BC","Performs and assists with analysis workshops with clients to define business, process, functional requirements and data element requirements.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=f71144ffab9381d8&fccid=f437c5dff001404b&vjs=3
Business Analyst,OAK+FORT,"Vancouver, BC","Provide reporting and key data points to assist users in their roles.
Conduct testing and data validation in system test environments, validation that system…",,Posted16 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=777a4087af6b5ad4&fccid=044a31a40a4df9ef&vjs=3
Business Analyst II - Future Friendly Home Team,TELUS,"Burnaby, BC","Ability to visualize data in Tableau and Google Data Studio.
Post-secondary diploma/certification or 3-5 years of equivalent experience.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ed11c45a3ee1372a&fccid=ed81336789a877c2&vjs=3
Business Intelligence Analyst,ROBINSON,"Remote in Vancouver, BC","Experience designing and optimizing data flows for large volumes of data.
Experience developing data warehouses and in modeling and/or data analysis.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c329fc1c8dda75e0&fccid=00a271dcb207dd0e&vjs=3
IT- Reporting Analyst,Northland,"Vancouver, BC","Performs data analysis for verifying and evaluating data requirements, profiling for data quality, cleansing, modelling and prepping the data for visualizations…",Full-time,Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=f32fe8f058a55369&fccid=cd97cfb1d29739ad&vjs=3
"Junior Analyst, CRM & Business Intelligence",Vancouver Whitecaps FC,"Vancouver, BC","Proficient with data visualization tools such as Tableau or Power BI.
Primary point of contact for internal CRM related support tasks (e.g. assisting with data…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c07fdb9195ec85ff&fccid=cdde7cdbde5bec9c&vjs=3
Business Analyst,KORE Software,"Remote in Vancouver, BC","The team's main objective is to deliver data integrations for the purpose of data warehousing, entity resolution and overall master data management solutions to…",Full-time,EmployerActive 6 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=fbaa01aa95ac1835&fccid=6471263aeaa89116&vjs=3
Business Intelligence Analyst,Visier,"Vancouver, BC","Load data from various source systems (e.g. Salesforce, ServiceNow) into the data warehouse.
You understand the value of analytics and are eager to help drive…",Full-time,Posted13 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=9cd74bb12157a7e0&fccid=7bcc6e90bcef893c&vjs=3
Business Process Analyst,Ritchie Bros.,"Burnaby, BC","Ability to gather, organize and assess data.
Work closely with the development and quality assurance teams to ensure requirements are translated accurately into…",,Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=6d7fc1c2bb044a7f&fccid=143c7479acc5b806&vjs=3
"Analyst, Sales and Revenue",Bench Accounting,"Remote in Vancouver, BC",Mentor and support emerging analysts with their understanding of the data environment and the analyst tech stack.,"$58,160–$72,700 a year",Posted14 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=e1bc3582c3f2c331&fccid=8050ea68bc1f1986&vjs=3
Senior Business Analyst,Trulioo,"Vancouver, BC","Work closely with the BI/Data Science team to ensure the quality, accuracy, reliability, and timeliness of the data and reports required to measure project…",Full-time,Posted3 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=6702b1bd5fa533f2&fccid=1946896178786c44&vjs=3
Senior Workforce Analyst - Lower Mainland and Vancouver Isla...,E-Comm 9-1-1,"Hybrid remote in Vancouver, BC","This is a senior analyst role that will include:
Preparing reports and providing recommendations on complex technical issues and various challenges within the…","$88,595–$104,736 a year",Posted16 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8ecba2a0f33d2b0d&fccid=f599ae4724994a3a&vjs=3
Senior Business Analyst - Data and Analytics (GEC),Lululemon,"Vancouver, BC","5+ years of experience working with business intelligence or data projects, data integrations and acquisitions.
Experience in retail working with big data.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=5f83c61f30892345&fccid=43f0f7dbd55927e9&vjs=3
HR reporting Analyst (12-month contract),McCarthy Tétrault,"Hybrid remote in Vancouver, BC","Certification, diploma or Bachelor degree in data science, computer science, Business Intelligence background considered a strong asset.",,Posted1 day ago,2022-07-01,https://ca.indeed.com/company/McCarthy-T%C3%A9trault/jobs/Human-Resource-Reporting-Analyst-d6f42561ffa411ba?fccid=d0d487f928f6241c&vjs=3
"ANALYST, SOCIAL POLICIES",British Columbia Assembly of First Nations,"Vancouver, BC","Conduct surveys and analyze data.
Prepare research papers, educational texts or articles.
Develop questionnaires for social survey research.","$70,000–$75,000 a year",Posted24 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=3ceefd5acb84f4ec&fccid=a82b6c39c173aa5a&vjs=3
Business Analyst - Data and Analytics,Seaspan Marine,"North Vancouver, BC","A minimum of 5 years related work experience (data analyst, business analyst, project management) with demonstrable ability to lead a business team through a…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=fda6b3c109fe41a3&fccid=39e239a7200df342&vjs=3
"Data Analyst – Power BI, SQL",AstraNorth,"Vancouver, BC","Proven working experience in data analysis.
*Developing and **maintaining databases**, data systems – reorganizing data in a readable format *.","From $140,000 a year",Posted30+ days ago,2022-07-01,https://ca.indeed.com/company/AstraNorth/jobs/Data-Analyst-Power-Bi-904dfa7e71e51689?fccid=8116154355837827&vjs=3
"ANALYST, SOCIAL POLICIES",British Columbia Assembly of First Nations,"Vancouver, BC","Conduct surveys and analyze data.
Prepare research papers, educational texts or articles.
Develop questionnaires for social survey research.","$70,000–$75,000 a year",Posted24 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=3ceefd5acb84f4ec&fccid=a82b6c39c173aa5a&vjs=3
Business Analyst - Data and Analytics,Seaspan Marine,"North Vancouver, BC","A minimum of 5 years related work experience (data analyst, business analyst, project management) with demonstrable ability to lead a business team through a…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=fda6b3c109fe41a3&fccid=39e239a7200df342&vjs=3
"Data Analyst – Power BI, SQL",AstraNorth,"Vancouver, BC","Proven working experience in data analysis.
*Developing and **maintaining databases**, data systems – reorganizing data in a readable format *.","From $140,000 a year",Posted30+ days ago,2022-07-01,https://ca.indeed.com/company/AstraNorth/jobs/Data-Analyst-Power-Bi-904dfa7e71e51689?fccid=8116154355837827&vjs=3
"Data Analyst Health Surveillance, Epidemiology - BC Centre f...",PHSA,"Vancouver, BC","Write data management and analysis programs using data programming tools such as SAS or R.
Follow up with regional health authorities on missing, erroneous, and…",$36.41–$38.49 an hour,Posted21 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=20acb46176c735ac&fccid=f66f721a44de3765&vjs=3
Cyber Threat Analyst,Vade Secure,"Vancouver, BC","An interest in data analysis (Familiar with a big data tool is an advantage).
First experience as a Cybersecurity analyst.
❤️ CanadaLife insurance fully paid.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ad26e88037187c66&fccid=5a43605d5cb6be78&vjs=3
Business Analyst,Fraser Health,"Surrey, BC","Ensures data is effectively gathered, mined and leveraged to support effective decision making in support of corporate strategies and provide quality assurance…",Full-time,Posted10 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=f67faf17f4546f11&fccid=7b6e906d0289e400&vjs=3
Senior Business Analyst,University of British Columbia,"Vancouver, BC","Knowledge of data analysis and data modeling (conceptual, logical).
Plans, directs and supervises work of project team members, such as other business analysts,…","$8,648–$13,512 a month",Posted18 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=5f04c9f7af3af068&fccid=462e6068c17c7702&vjs=3
"Senior Business Analyst, Reporting",University of British Columbia,"Vancouver, BC","Performs data analysis and data modeling as required.
Knowledge of data analysis and data modeling (conceptual, logical).
Reviews and cross-reviews reports.","$8,648–$13,512 a month",Posted6 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=4950c167536bd189&fccid=462e6068c17c7702&vjs=3
Marketing Data Analyst,Trulioo,"Remote in Vancouver, BC","Provide input and recommendations on infrastructure and data pipelines.
Work with Marketing Operations, Revenue Operations, and Customer Success Operations on…",Full-time,Posted28 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=6bf73a218d186ffc&fccid=1946896178786c44&vjs=3
Data Analyst - Cell Biology,AbCellera,"Vancouver, BC","Developing and implementing software solutions for improving data flow and maintaining data standards across multiple teams.
A minimum of 3 weeks of vacation.",,Posted10 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=96ea0b6e819e3184&fccid=1a2f25b5dfcb693f&vjs=3
Database Administrator and Data Analyst,Graymont,"Hybrid remote in Richmond, BC","Excellent analysis and data exploration skills to understand complex application schemas and data.
Other activities will require you to envision and develop…",,Posted1 day ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=5babf83a47ec5d83&fccid=809c5d973b59d132&vjs=3
Business Systems Analyst,University of British Columbia,"Vancouver, BC","Provides custom reporting, data analysis and extracts.
The business systems analyst will report to a Technical Project Manager within the SDC.","$7,278–$11,372 a month",Posted14 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=445f833a47988347&fccid=462e6068c17c7702&vjs=3
Senior Data Analyst,CryptoKitties,"Vancouver, BC","Drive requirements for critical data needs and for data modeling with data engineers.
Work with the Data Engineering team to develop ETL solutions and ensure…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8ac507accbba16a2&fccid=a63cc068af79e415&vjs=3
"Business Operations Analyst, Live Entertainment & Sports",Unity Technologies,"Vancouver, BC","Proven background of using data and metrics to craft strategies.
Build and run dashboards and other reports to supervise key business metrics (knowledge of…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=985bc2093d619244&fccid=880e4714f2ad94a8&vjs=3
Business Analyst II,Seaspan ULC,"North Vancouver, BC","A minimum of 5 years related work experience (systems analyst, business analyst, design, application development and/or technical support) with demonstrable…",Full-time,PostedToday,2022-07-01,https://ca.indeed.com/rc/clk?jk=a38b8e209f0e2946&fccid=39e239a7200df342&vjs=3
Senior Performance Analyst,TELUS,"Vancouver, BC","You are an experienced analyst yet strategic thinker who can connect the dots from ambiguous strategy to delivery.
Job Function: Planning and Analysis.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=2cbd80cf4012d79e&fccid=ed81336789a877c2&vjs=3
Business Analyst BHJOB13022_12266,Ignite Technical Resources.,"Vancouver, BC","Business Analyst research tools and techniques such as data modeling, process mapping and LEAN Six Sigma.
Business Analyst (Applications) – Contract position in…",,Posted5 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c0ebdb4510264abb&fccid=e671f6b2e57dc9e3&vjs=3
Senior People Data Analyst,Lululemon,"Vancouver, BC","Experience with employees and organizational data is preferred.
Discretion and experience working with sensitive and confidential data.
A day in the life:",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=d01a25082d91a3bf&fccid=43f0f7dbd55927e9&vjs=3
Senior Business Systems Analyst,TELUS,"Vancouver, BC","Act as functional subject matter expert to identify reporting and data requirements.
We are responsible for the functional and technical management of the…",Full-time,Posted1 day ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=46129c8b54c15ee7&fccid=ed81336789a877c2&vjs=3
Sustainability Reporting Analyst,Canfor,"Vancouver, BC","Motivated and energetic, you will work closely with business partners including operations, finance and IT, to improve data gathering and integrated systems…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=9353243c2620ab60&fccid=39ed4d57d76bf249&vjs=3
Business Analyst II - Security Technology Migrations Team,TELUS,"Vancouver, BC","Strong experience in data analysis, project management and/or communications.
Vancouver, British Columbia, CA Calgary, AB, CA Edmonton, AB, CA Toronto, ON, CA.",Full-time,Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=7311919670a89a90&fccid=ed81336789a877c2&vjs=3
"Principal Analyst (RE-05) Governance & Controls, Model Risk...",Office of the Superintendent of Financial...,"Remote in Vancouver, BC","O Analyzing data using BI and/or modern data management practices.
Knowledge of current data management and data mining best practices and tools.","$92,600–$119,300 a year",Posted1 day ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=32d28692405ae2d1&fccid=8aa619a8c406ac17&vjs=3
Data Management Analyst,Motorola Solutions,"Richmond, BC","Performing data validation, analyzes, and data mining analysis between PLM, ERP and other systems.
Provide master data training to operations employees.",Full-time,Posted10 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=37b7045ef5d5d469&fccid=22ec6ef3cc441ac2&vjs=3
Data Governance Analyst,Appnovation Technologies,"Vancouver, BC","Superior written communication skills, including ability to translate data governance needs into effective standards & policies documents that meet the needs of…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=e31b922f8552e941&fccid=44fd14c53aec5d7e&vjs=3
Commercial Insights Analyst,Andrew Peller Limited,"Vancouver, BC","The Commercial Insights Analyst will be responsible for creating added value to the organization through data analytics to provide market, channel, customer,…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ff56459d363d6a26&fccid=96c5923a2bf438cb&vjs=3
business systems analyst,Infoblox Canada Ltd.,"Burnaby, BC","Assess physical and technical security risks to data, software and hardware.
Confer with clients to identify and document requirements.",$52.09 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=74e1b260e8c64319&fccid=d7bd935bd17bc575&vjs=3
information systems business analyst,GINQO Consulting Ltd,"Vancouver, BC","Mapping and data visualization software.
Confer with clients to identify and document requirements.
Design, develop and implement information systems business…","$70,000–$90,000 a year",Posted21 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=bb18a8d5cccd54b0&fccid=d4c3d234697a19fc&vjs=3
IT (information technology) business analyst,STEMCELL Technologies INC,"Remote in Vancouver, BC","Assess physical and technical security risks to data, software and hardware.
Credentials (certificates, licences, memberships, courses, etc.).","$65,000–$80,000 a year",Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8c9bbac608fa11d9&fccid=1495fd2cb143fcaf&vjs=3
Business & QA Analyst,Smart & Biggar,"Vancouver, BC",Documenting and analyzing the required information and data to determine potential solutions from a technical and business perspective.,Full-time,Posted25 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=77a16f2737c13c3d&fccid=662c58d305adc5e9&vjs=3
business systems analyst,Robotiqa Technologies,"Vancouver, BC","Mapping and data visualization software.
Business Administration, Management and Operations, Other.
Business Equipment and Computer Applications.",$39.25 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c017da7d97d472ad&fccid=2d7797d9485dfaf1&vjs=3
business systems analyst,Robotiqa Technologies,"Vancouver, BC","Mapping and data visualization software.
Business Administration, Management and Operations, Other.
Business Equipment and Computer Applications.",$39.25 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=c017da7d97d472ad&fccid=2d7797d9485dfaf1&vjs=3
Risk Analyst,CryptoKitties,"Vancouver, BC","Analyze chargeback data to identify fraud trends and prepare chargeback reports.
Experience with data analysis, investigations, and an understanding of how…",,Posted21 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=9b87c42b0ee06637&fccid=a63cc068af79e415&vjs=3
Lead Business Analyst – SaaS Data & Analytics - Opportunity...,VMware,"Remote in Vancouver, BC","Connect the dots between different data domains and metrics to help inform data strategy.
Query data and perform reporting/ad-hoc analyses/deep dives to shape…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8e55b7c1be6c3fc7&fccid=c762a27145bd166e&vjs=3
CST Business Analyst,Providence Health Care,"Vancouver, BC","Gathers, analyzes and summarizes data; collates and presents findings.
Superior analytical skills for data, documentation and workflows, including the ability…",Full-time,Posted13 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=a42c6d4d4e60e66e&fccid=e98b37c86f8eec83&vjs=3
Business Intelligence - Business Analyst,Natures Path Food,"Richmond, BC","Excellent analytical skills and ability to turn complex business requirements into data-sets, data-marts, cubes or data-models.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=0424c8ca525699a4&fccid=475ddfd54383e36f&vjs=3
Sr Data Analyst - DRE,Electronic Arts,"Vancouver, BC","Build scripts and queries to import, clean, transform, and enhance data.
Work with data engineers to manipulate, analyze and tell a story with complex, high…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=b9ef54128dd74143&fccid=617d7f961cfcf54a&vjs=3
Data Analyst (Maternity leave cover - 1 year),Monstercat,"Vancouver, BC","Technical expertise in data models, database design development, data mining and segmentation techniques.
Preferred: financial and music streaming data.",Full-time,Posted30 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=0ae74a890b283157&fccid=294c75eb83b06a1f&vjs=3
Business Analyst,Clarius Mobile Health,"Remote in Vancouver, BC","Liaise with stakeholders to understand project structures, policies, workflows, requirements, and operations to identify, model and document business, process,…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=d8b0523225716aab&fccid=5ad1a07e0c00ee22&vjs=3
Cyber Security Analyst - Bots & Blocking,Numerator,Remote in Canada,"Develop & enhance data analytics of Numerator’s web crawling operations.
The Cybersecurity Analyst is responsible for developing and enhancing data analytics,…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwhvtDhhMuSGvOgpEtJTRru83A1sJLDjPPZCOp3agw_UPR1rdTPXQozwbrGqxT83pVHosXKUDc-C47xvQuebK5eFHtwMMusDS4fHFTlEtme9QKg0ur4yuMqTjUFzZkm4C4aGcty1Wot97ClMTCdGDf0bel2b9YoBbuKRGXjm490bLEWkCqgqGjYcudtwsfw6U5fFQnzD-im5tFNuyZfSeKpZ5SlBTCiw2AmwWJzMASRw1ni10I9aC7nsb5xPIL1zURcd5XGVLj2kyAwmrRC1KzDlWrStNv_9g1Cw6xPzPzPdIQts4HSn_bgxWw74GyypVTpS2xWL93LUCqF5AMahB0LJZIwnZO2Q9ZTZ2U4PUINd22PH26gWmzy3M2n8Aw-KqgStzMavd3bGnE-M6RCICY6MQDd82h-GeNRA_uBdJNdKldopXsacDfoc2DIqivLRTYYCKT1wgriUM1RA9iAvvPMJc8M_7RxBH2qDUpFptpD5IlHlBEpqS73DBPNBc3YSbKXpXP45MZKzgjIje3Ww-XA4wLlnK3SGxCQ87OIXFB1iLpjtF4MoSJB_FwWfFxvs3LIewK9RKOC3mZpSxEev0nK7LeVEbMJqGqT3Zobum70Q==&xkcb=SoAs-_M3ceGRoJAK4r0LbzkdCdPP&p=8&fvj=0&vjs=3
Cloud & Data Center Systems Support Analyst,Charter Telecom,"Vancouver, BC","Compensation: * Negotiable (depending on experience).
Reports to: *Service Desk Manager.
Charter partners with a several top technology vendors, including Cisco…",Full-time,Posted14 days ago,2022-07-01,https://ca.indeed.com/company/Charter-Telecom/jobs/Cloud-Data-Center-System-Support-Analyst-929f3d5978779e9c?fccid=60b38ba4ba6b69ab&vjs=3
"Analyst, Physician Services",Fraser Health,"Remote in Surrey, BC","Strong analytical ability to meaningfully interpret and present data.
Provides data analysis for service contract and sessional program use, utilizing key data…",Full-time,Posted30 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=2a61406b611d7396&fccid=7b6e906d0289e400&vjs=3
Senior Business Analyst - CRM/CPQ (Remote),Motorola Solutions,"Remote in Vancouver, BC","Work with our eCommerce, CRM, subscription, and CPQ technical teams to detail current and future features, developing a deep understanding of integration points…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=0e574f589995ac3b&fccid=22ec6ef3cc441ac2&vjs=3
"Data Visualization Specialist, Business Intelligence",Definity,"Hybrid remote in Vancouver, BC","Design, develop and deliver reports, dashboards, and data insights that provide value to our business partners.
Discounts on products and services.",Temporary +1,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=b1a35c7fd77f3c32&fccid=236ef8b5fc73dcdc&vjs=3
Game Security Operations Analyst - NHL,Electronic Arts,"Vancouver, BC","Experience with data visualization tools such as Tableau, SAS, Grafana.
Perform analysis on suspicious player behaviors using data and analytical evidence to…",Full-time,Posted15 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=1e85082b7a8d4ef2&fccid=617d7f961cfcf54a&vjs=3
Senior Business Analyst,TELUS,"Vancouver, BC","You will accomplish your objectives by targeting high impact challenges, driving quick decisions and working closely with business consultants to scale across…",Full-time,Posted29 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=238213c77213b142&fccid=ed81336789a877c2&vjs=3
Business Analyst for Accounting,Polaris Materials Corporation,"Vancouver, BC","Key areas for active involvement and accountability include conducting ongoing analysis of financial and business data, identifying data requirements for…","$70,000–$85,000 a year",EmployerActive 4 days ago,2022-07-01,"https://ca.indeed.com/company/Orca-Sand-and-Gravel,-LP/jobs/Business-Analyst-Accounting-efc06ded7fa92ed4?fccid=057925904d3e3e64&vjs=3"
"Workforce Analyst, Workforce Management Solutions",PHSA,"Remote in Vancouver, BC","A customer service expert with a minimum three years’ experience in a high volume, fast paced client service call centre in addition to a two-year diploma…",Full-time,Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=ba93e4dac4447275&fccid=f66f721a44de3765&vjs=3
Project Control Analyst - Remote,EMMES,"Remote in Vancouver, BC",Strong computer skills including high proficiency in Microsoft Word and Excel and data analysis software packages; familiarity with Microsoft Access and Project…,,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=cc76e5c588b55f69&fccid=26108e784f9361a6&vjs=3
Digital Analyst,War Room Holdings,"Vancouver, BC","Analyze internal and external data with quantitative research.
At least 2 years experience as a data analyst, reporting analyst, business intelligence…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=a8a03316b6bec4b8&fccid=53789b4b370eb753&vjs=3
"Supply Chain - Senior Analyst, Outbound Logistics",Aritzia,"New Westminster, BC","Successful candidates will be equally comfortable with both business process and data.
The mission of the Outbound Logistics Department is to manage the…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=bf3eba4034b55e62&fccid=230bf53df7c46c1a&vjs=3
"Analyst, Business Systems",Fraser Health,"Surrey, BC","Perform data analysis and create ad hoc, operational and management reports.
Interpret business area reporting needs and develop report design layouts that…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=b3da23af8946e227&fccid=7b6e906d0289e400&vjs=3
Quality Assurance Analyst,Pacific Blue Cross,"Burnaby, BC","Creating, selecting and loading test data and executing test plans and scripts;
Demonstrated critical thinking skills gained through the successful application…",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=edc13447bcec3f9b&fccid=5e6c2d9e10fcf23c&vjs=3
Analyst - Sales Reporting,Pages Jaunes Solutions Numériques et Médias...,"Burnaby, BC","Understand and validate various data sources and their application in order to define the data and reporting needs.
Working knowledge of Excel and PivotTables.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=100235eea25e3610&fccid=87c785758de257e9&vjs=3
Sr Business Intelligence Engineer,Amazon Dev Centre Canada ULC,"Vancouver, BC","Build and execute on an analytics roadmap to provide data to stakeholders including finance, marketing, technology, and operations.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=16a2e769610bd38c&fccid=fe2d21eef233e94a&vjs=3
Junior HRIS Analyst,Ledcor,"Vancouver, BC","Document procedures to ensure data integrity.
Provide support with the data flow between Workday and JD Edwards and audits on data accuracy and integrity…",Full-time,Posted11 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=e6eb4c1ad55792cf&fccid=858565e37a126a9f&vjs=3
Enrolment & Scheduling Analyst (Leave Replacement),University of British Columbia,"Vancouver, BC","This Enrolment and Scheduling Analyst position leads the development and implementation of academic scheduling, data analysis, and records management that…","$5,906–$8,508 a month",Posted11 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=5195fae362b9ea1a&fccid=462e6068c17c7702&vjs=3
Business Intelligence (BI) Developer- Analyst,Providence Health Care,"Vancouver, BC","Strong background in data architecture, data quality, data mapping, and data structures.
3+ years programming experience (C#, VB.net, Java, etc.).",Full-time,Posted17 days ago,2022-07-01,https://ca.indeed.com/company/Lower-Mainland-Biomedical-Engineering-(LMBME)/jobs/Business-Intelligence-Developer-e2b6a716b4f8e043?fccid=a85d37974f583371&vjs=3
Business and Contract Analyst,Vancouver Coastal Health,"Vancouver, BC","Key areas for active involvement and accountability include conducting ongoing analysis of financial and business data, identifying data requirements for…",$33.35–$47.94 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=657687cd42c48337&fccid=3513825c36972737&vjs=3
Quantitative Analyst Intern (Mitacs Internship),1QBit,"Remote in Vancouver, BC","Assist in the marketing and sale of MSM subscriptions using social media and peer-to-peer outreach.
Examples of past work with data analysis and visualization…",Full-time +1,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=950c1041c1607320&fccid=c3a210a74e7bf1e2&vjs=3
AWS Data Analyst / Data Engineer,Starling Minds Inc,"Vancouver, BC","Own the technical operations (data pipeline, data lake, data reporting tools) of Starling’s evolving data holdings.
Expert-level SQL query writing ability.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=4acc7336355e887c&fccid=5cb8c5a2c227020f&vjs=3
Business and Contract Analyst,Vancouver Coastal Health,"Vancouver, BC","Key areas for active involvement and accountability include conducting ongoing analysis of financial and business data, identifying data requirements for…",$33.35–$47.94 an hour,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=657687cd42c48337&fccid=3513825c36972737&vjs=3
Quantitative Analyst Intern (Mitacs Internship),1QBit,"Remote in Vancouver, BC","Assist in the marketing and sale of MSM subscriptions using social media and peer-to-peer outreach.
Examples of past work with data analysis and visualization…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=950c1041c1607320&fccid=c3a210a74e7bf1e2&vjs=3
AWS Data Analyst / Data Engineer,Starling Minds Inc,"Vancouver, BC","Own the technical operations (data pipeline, data lake, data reporting tools) of Starling’s evolving data holdings.
Expert-level SQL query writing ability.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=4acc7336355e887c&fccid=5cb8c5a2c227020f&vjs=3
Senior Business Data Analyst,Zscaler,"Remote in Vancouver, BC",Proven track record of executing data roadmap for support groups by translating business data needs into functional and technical requirements for the data…,,Posted28 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=dcb289698e106ff0&fccid=b8ce556031512ca3&vjs=3
"Business Intelligence Manager, Growth Opportunities Recommen...",Amazon Dev Centre Canada ULC,"Vancouver, BC","Passion for data-driven research and inquiry.
Understanding of data engineering pipelines and building dashboards for data visualization.",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=cabb8d9ab3fb68f5&fccid=fe2d21eef233e94a&vjs=3
