job_title,company,job_location,job_summary,job_salary,post_date,today,job_url
Data Analyst,E-xact Transactions Canada Ltd,"Remote in Vancouver, BC","Build Product Support dashboards using Kibana and data visualizations using Telemetry TV.
Design and build a suite of data analysis tools using Elastic Stack…",Full-time,Posted7 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=12ea0cbf2fc7c6bf&fccid=a8769a0f20f2731c&vjs=3
Data Analyst (Contract),Electronic Arts,"Vancouver, BC"," Validate datasets using scripting language to identify data quality issues and data anomalies.
 Develop scripts and queries to import, manipulate, clean and…",Temporary +1,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=dbea0655d2725e90&fccid=617d7f961cfcf54a&vjs=3
Reporting Analyst,Powerex,"Vancouver, BC","2-3 years’ experience in data analytics and report management.
Proven experience consolidating and analyzing data sources to create insightful business…","$85,000–$95,000 a year",Posted10 days ago,2022-07-01,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6eBa0vGWSs3AUzrLlGY9hOrjqIn5hrg_GLn7qIpz8UA0qe8JfMHuC6Wz0aMEiro3PHAf6mHi4B31cYGgcUk-v6_PUbnQgQE5FzqSx5wNc2ZORP8Ht0q8YYGI29DV1BkGyB7kabtYaa_KOWvWyv9CINeEG7YPitoUpG33MVGgmkZ2dGUHzEj5lZw63GRfzmAc1Dz6ZCSvbtxc3oaM9oVv6EJZuAs07TUj4lABB54gZ7NUMxSLa8yuHFkKPUrIgz_OIsKCvFuJ5lLzZAhGvefw_WPyRWWbtxtFxc3o7SpeQnl6hx6HZHTZNRnvoZs8-CreF5j8_WcPuv73Qz9HyicwXm8bg2pyfGTpVRs9L6GwPjmZDwmxgMvkl_5Akl31-4JVLtghvsuuSM-pez8JcTPgB06bv6hkmeeuKisdpp6J3gK5DnED8ug41Fj7hm0j05Zm_Ksa0HV2nkXAE3cP8rijUDpcJpIY-NgO7xbEsxsfE4Q==&xkcb=SoCX-_M3ceGSDSAK4r0LbzkdCdPP&p=12&fvj=1&vjs=3
"Data Analyst, Competitive Intelligence",Klue,"Remote in Vancouver, BC","The Insights' team scope covers data validation for existing sources, outsourced content, and new potential data sources.
You are an Excel and/or Python master.",Full-time,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=361b26389de34a6c&fccid=97d82e5ee0248fef&vjs=3
Entry Level Consulting Analyst Development Program - Toronto...,Accenture,"Remote in Vancouver, BC","Analyze project statistics and business data to read the story behind the numbers.
Combine Artificial Intelligence with data, analytics, and automation under a…",Full-time,Posted1 day ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=0ae1b21660c50727&fccid=a4e4e2eaf26690c9&vjs=3
Entry Level Consulting Analyst Development Program - Toronto...,Accenture,"Remote in Vancouver, BC","Analyze project statistics and business data to read the story behind the numbers.
Combine Artificial Intelligence with data, analytics, and automation under a…",,Posted1 day ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=0ae1b21660c50727&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst,Electronic Arts,"Vancouver, BC","Perform advanced SQL querying, data mining, and data cleansing.
Collaborate effectively with Data Engineering to develop production ready data models and…",,Posted24 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=9656bfeaff66d286&fccid=617d7f961cfcf54a&vjs=3
Data Analyst,DarkVision,"North Vancouver, BC","Inspect ultrasound data using our proprietary software to locate features and defects.
Measure and assess features in the data, utilizing machine learning…",,Posted30+ days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=344fa50fe8568820&fccid=6fdf833a92721e5d&vjs=3
Data Analyst,Zymeworks,"Remote in Vancouver, BC","Develops tools for Zymeworks’ scientific data system’s integrations, and visualization of many forms of data including scientific R&D data.",,Posted2 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=225864da894f3bd0&fccid=e4d981a808c200d8&vjs=3
Data Analyst,REW,"Hybrid remote in Vancouver, BC","You have strong experience in data modelling and quantitative analysis, plus data analysis concepts like data visualization, dashboard design, and data mining.",,Posted29 days ago,2022-07-01,https://ca.indeed.com/rc/clk?jk=8ed8dee695d6fc9f&fccid=b3cc4f04529b54b9&vjs=3
